4.416587112171839e-05,1.4574193585135656e-07
4.3875771971496434e-05,1.4436050349524095e-07
4.674825870646765e-05,1.583290017573822e-07
4.4754457831325306e-05,1.4856495862969955e-07
4.804060913705584e-05,1.6482388105851736e-07
4.581225490196079e-05,1.53706507112649e-07
5.4771148459383765e-05,2.007595194940722e-07
5.835470588235293e-05,2.2133737024221448e-07
6.231547987616099e-05,2.4524916370328477e-07
5.558328611898018e-05,2.053350881557512e-07
5.947791044776119e-05,2.279937625306304e-07
7.042627986348125e-05,2.9804191079686433e-07
